asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
archive_child_refine,archive_child_refine,authoring/clipstudio/sprites/archive_child_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:47.819899+00:00,2026-03-12T02:12:47.819899+00:00,d8cd3e6b5f9d41ba40008d312d90841fba59131218e765115680982440b91d87,1024,1024,2475952
rope_ferryman_refine,rope_ferryman_refine,authoring/clipstudio/sprites/rope_ferryman_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:48.571675+00:00,2026-03-12T02:12:48.571675+00:00,1828fd67955f9820526ca33b77e6a3b79e7b89d05566f367151d5ff4c8f739a7,1024,1024,2087357
kier_rat_ronin_refine,kier_rat_ronin_refine,authoring/clipstudio/sprites/kier_rat_ronin_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:48.960707+00:00,2026-03-12T02:12:48.960707+00:00,89fbb72375f58d431e46b7cfc7af483291a38d4b2b9e7c05df1bb0e08b10968a,1024,1024,1592769
village_elder_refine,village_elder_refine,authoring/clipstudio/sprites/village_elder_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:51.649695+00:00,2026-03-12T02:12:51.649695+00:00,815ace1949d8d52aa9bb7e07a5225cce92962575e3015b6fe96819582a7515b0,1024,1024,2110848
salt_toad_refine,salt_toad_refine,authoring/clipstudio/sprites/salt_toad_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:04.787528+00:00,2026-03-12T02:13:04.787528+00:00,5190237c8cd1a30912f3fb54b1a37f46d94ebe9bd369b80f4007db0814283336,1024,1024,2247302
goduly_ink_saint_refine,goduly_ink_saint_refine,authoring/clipstudio/sprites/goduly_ink_saint_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:05.233111+00:00,2026-03-12T02:13:05.233111+00:00,4e5fdd06292fd8f3cd2050e455ffe2e7264f1897e70685c2fd098608b3732b63,1024,1024,2501069
penitent_poet_refine,penitent_poet_refine,authoring/clipstudio/sprites/penitent_poet_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:06.612309+00:00,2026-03-12T02:13:06.612309+00:00,c7bfd0a3b74ca541afd01749be36d01f5236f48af6e7aa7a3d13c96adc00065a,1024,1024,1821381
vermin_lantern_refine,vermin_lantern_refine,authoring/clipstudio/sprites/vermin_lantern_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:09.245597+00:00,2026-03-12T02:13:09.245597+00:00,16a3b0531df7699367cbf881095da2a00a22f72ae786aa746b5193ed56675115,1024,1024,2558293
tar_crow_refine,tar_crow_refine,authoring/clipstudio/sprites/tar_crow_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:20.880391+00:00,2026-03-12T02:13:20.880391+00:00,80b715d3291251c978ceae8f844b3037c4388da580327fae9e1fb1dcc412dd2a,1024,1024,1669762
reed_sapper_refine,reed_sapper_refine,authoring/clipstudio/sprites/reed_sapper_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:21.774141+00:00,2026-03-12T02:13:21.774141+00:00,e56ca41b35627a75286a5a8f5b802a468f4fde626c0b7ba0747e21aa8b1f368b,1024,1024,2273890
goduly_fallow_crown_refine,goduly_fallow_crown_refine,authoring/clipstudio/sprites/goduly_fallow_crown_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:22.855899+00:00,2026-03-12T02:13:22.855899+00:00,41e2efc8a753d25baca46c10e04688704657d1c5d9608388da6581d6ef449649,1024,1024,2180188
pale_usher_refine,pale_usher_refine,authoring/clipstudio/sprites/pale_usher_refine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:13:25.577502+00:00,2026-03-12T02:13:25.577502+00:00,974903205c75837be0efc3f8faa40c2197332ddf3049834eba38dba8d57fd71a,1024,1024,1910000
